"","RRA_id","x","y","dist_TO_cityhall"
"53",124,-79.6704759,43.77597042,26747.2556040282
"54",124,-79.6704759,43.77597042,26747.2556040282
"55",139,-79.51770844,43.77296662,17084.941914112
"56",139,-79.51770844,43.77296662,17084.941914112
"57",144,-79.23422678,43.70634699,13405.206712431
"58",145,-79.73495568,43.88301141,38017.2243296524
"59",145,-79.73495568,43.88301141,38017.2243296524
"60",145,-79.73495568,43.88301141,38017.2243296524
"61",148,-79.72275113,43.89295146,38059.9111012236
"62",148,-79.72275113,43.89295146,38059.9111012236
"63",150,-79.72305706,43.89082121,37912.5537713493
"64",152,-79.72511645,43.88813774,37825.4545460908
"65",152,-79.72511645,43.88813774,37825.4545460908
"66",157,-79.72694333,43.90171889,38983.7568660284
"67",158,-79.72589729,43.90164278,38918.5069145906
"68",167,-79.43967329,43.93889895,32048.3139532961
"69",167,-79.43967329,43.93889895,32048.3139532961
"70",189,-79.08839358,43.91605006,37625.2402060957
"71",197,-79.07983151,43.92065837,38456.3940749438
"72",199,-79.07642903,43.92540532,39037.1641258453
"73",199,-79.07642903,43.92540532,39037.1641258453
"74",202,-79.31107694,43.86758862,24517.1169442729
"75",202,-79.31107694,43.86758862,24517.1169442729
"76",202,-79.31107694,43.86758862,24517.1169442729
"77",206,-79.86717124,43.86685806,45478.3248337078
"78",210,-79.68927711,43.77529608,28022.1262940374
"79",210,-79.68927711,43.77529608,28022.1262940374
"80",217,-79.67196699,43.76044445,26020.0520351088
"81",217,-79.67196699,43.76044445,26020.0520351088
"82",219,-79.67041187,43.75347526,25563.7051117821
"83",230,-79.6998664,43.76660735,28329.7772320754
"84",230,-79.6998664,43.76660735,28329.7772320754
"85",234,-79.6899556,43.76763954,27670.5312453176
"86",234,-79.6899556,43.76763954,27670.5312453176
"87",234,-79.6899556,43.76763954,27670.5312453176
"88",234,-79.6899556,43.76763954,27670.5312453176
"89",243,-79.69856153,43.9159408,38589.0042282394
"90",345,-79.8128645,43.73123223,35544.2801404372
"91",345,-79.8128645,43.73123223,35544.2801404372
"92",345,-79.8128645,43.73123223,35544.2801404372
"93",358,-79.06209676,43.87362007,35602.947632138
"94",358,-79.06209676,43.87362007,35602.947632138
"95",358,-79.06209676,43.87362007,35602.947632138
"96",358,-79.06209676,43.87362007,35602.947632138
"97",358,-79.06209676,43.87362007,35602.947632138
"98",359,-79.06209676,43.87362007,35602.947632138
"99",360,-79.06209676,43.87362007,35602.947632138
"100",361,-79.74506017,43.92942601,42203.2109563802
"101",363,-79.74374166,43.92999169,42176.3512055272
"102",394,-79.02158733,43.90384215,40270.8634162715
"103",402,-79.53500935,43.93164958,33218.5411812966
"104",402,-79.53500935,43.93164958,33218.5411812966
"105",402,-79.53500935,43.93164958,33218.5411812966
"106",414,-79.04690151,43.82211692,32942.8299205616
"107",417,-79.77430953,43.8896659,40885.0405327374
"108",417,-79.77430953,43.8896659,40885.0405327374
"109",420,-79.769839,43.89297242,40848.6474018114
"110",421,-79.77177193,43.89258304,40938.4071718437
"111",422,-79.78121205,43.94802952,45701.296601979
"112",431,-79.09999405,43.81090604,28762.1256312189
"113",433,-79.09807833,43.80970002,28803.5327202891
"114",438,-79.37338941,43.81684312,18183.9761260082
"115",439,-79.38942624,43.61416004,4394.93316064655
"116",441,-79.57787694,43.78484229,21353.3084318526
"117",442,-79.31275006,43.66336687,5839.74553513118
"118",453,-79.08739845,43.86612997,33565.2704855762
"119",453,-79.08739845,43.86612997,33565.2704855762
"120",464,-79.13346073,43.77808591,24444.5382578473
"121",464,-79.13346073,43.77808591,24444.5382578473
"122",464,-79.13346073,43.77808591,24444.5382578473
"123",465,-79.72263094,43.74208129,28947.4577357775
"124",465,-79.72263094,43.74208129,28947.4577357775
"125",466,-79.68723397,43.67780782,24536.6591993465
"126",469,-79.69221378,43.67630654,24917.576291413
"127",472,-79.69274979,43.67655265,24963.2133846805
"128",482,-79.15545601,43.90261795,33229.380614153
"129",482,-79.15545601,43.90261795,33229.380614153
"130",486,-79.62517632,43.87268024,31128.5834579158
"131",486,-79.62517632,43.87268024,31128.5834579158
"132",486,-79.62517632,43.87268024,31128.5834579158
"133",486,-79.62517632,43.87268024,31128.5834579158
"134",486,-79.62517632,43.87268024,31128.5834579158
"135",487,-79.62322468,43.87008409,30805.3759187568
"136",488,-79.58822246,43.83617925,26108.6216281111
"137",488,-79.58822246,43.83617925,26108.6216281111
"138",488,-79.58822246,43.83617925,26108.6216281111
"139",488,-79.58822246,43.83617925,26108.6216281111
"140",492,-79.88692433,43.93754682,51251.5029648194
"141",492,-79.88692433,43.93754682,51251.5029648194
"142",508,-79.7853679,43.77559697,34995.6479059285
"143",508,-79.7853679,43.77559697,34995.6479059285
"144",511,-79.48413846,43.86663266,25026.2127664717
"145",512,-79.62307107,43.84116402,28357.0154799004
"146",526,-79.22171191,43.84269203,24751.4619127709
"147",526,-79.22171191,43.84269203,24751.4619127709
"148",530,-79.21420489,43.7860133,20085.8339040413
"149",532,-79.32939336,43.73874677,10448.6695633164
"150",532,-79.32939336,43.73874677,10448.6695633164
"151",532,-79.32939336,43.73874677,10448.6695633164
"152",537,-79.68243042,43.86970622,33944.2331639229
"153",537,-79.68243042,43.86970622,33944.2331639229
"154",537,-79.68243042,43.86970622,33944.2331639229
"155",537,-79.68243042,43.86970622,33944.2331639229
"156",538,-79.67628525,43.86362488,33117.9986474449
"157",538,-79.67628525,43.86362488,33117.9986474449
"158",538,-79.67628525,43.86362488,33117.9986474449
"159",538,-79.67628525,43.86362488,33117.9986474449
"160",539,-79.50610072,43.88963225,28026.8584332836
"161",540,-79.63526661,43.92435456,36246.0585613751
"162",540,-79.63526661,43.92435456,36246.0585613751
"163",540,-79.63526661,43.92435456,36246.0585613751
"164",540,-79.63526661,43.92435456,36246.0585613751
"165",540,-79.63526661,43.92435456,36246.0585613751
"166",540,-79.63526661,43.92435456,36246.0585613751
"167",540,-79.63526661,43.92435456,36246.0585613751
"168",541,-79.63526661,43.92435456,36246.0585613751
"169",541,-79.63526661,43.92435456,36246.0585613751
"170",542,-79.63526661,43.92435456,36246.0585613751
"171",542,-79.63526661,43.92435456,36246.0585613751
"172",550,-79.74347857,43.77803226,32035.0173607814
"173",553,-79.32709873,43.64117552,4782.44561494039
"174",553,-79.32709873,43.64117552,4782.44561494039
"175",558,-79.83911675,43.94699444,48979.0709619559
"176",558,-79.83911675,43.94699444,48979.0709619559
"177",560,-79.85553862,43.95259561,50377.1732692519
"178",560,-79.85553862,43.95259561,50377.1732692519
"179",564,-79.85130102,43.95850565,50559.3252874922
"180",564,-79.85130102,43.95850565,50559.3252874922
"181",564,-79.85130102,43.95850565,50559.3252874922
"182",564,-79.85130102,43.95850565,50559.3252874922
"183",564,-79.85130102,43.95850565,50559.3252874922
"184",564,-79.85130102,43.95850565,50559.3252874922
"185",567,-78.99662138,43.8282549,36692.4500747111
"186",567,-78.99662138,43.8282549,36692.4500747111
"187",571,-79.92907385,43.9513805,54866.5780331134
"188",574,-79.39319389,43.92707963,30430.4209496134
